id,hunt.area,year,group.size,hab.diversity,prop.openness,mgmt.closure,irrigation,dist.road,slope,land.mgmt.descr,yr.wolf,tot.wolf,ave.annual.wolf,wr.density,month,ave.daily.swe,elev
81,52,2010,82,6,18.3,0,0,4.2,17.9,Forest Service,3.5,14.8,4.9,4.5,3,26.3,2394
82,52,2010,16,6,23.7,0,0,4.3,19.7,Forest Service,3.5,14.8,4.9,4.5,3,26.3,2426
83,52,2010,42,6,7.7,0,0,4.5,29.5,Forest Service,3.5,14.8,4.9,4.5,3,26.3,2391
84,52,2010,13,4,76.4,0,0,2.2,13.2,Forest Service,3.5,14.8,4.9,4.5,3,26.3,2172
85,52,2010,75,5,98.8,0,0,1.8,7.2,Forest Service,3.5,14.8,4.9,4.5,3,26.3,2367
86,52,2010,4,7,97.7,0,0,1.1,8.5,Forest Service,3.5,14.8,4.9,4.5,3,26.3,2296
87,52,2010,25,7,30.6,0,0,0.8,14.1,Forest Service,3.5,14.8,4.9,4.5,3,26.3,2115
88,50,2010,171,7,63.1,0,0,0.3,6.5,Forest Service,3.5,27.4,9.1,0.8,3,32.5,2003
89,50,2010,26,9,74.8,0,0,0.2,7.3,Forest Service,3.5,27.4,9.1,0.8,3,32.5,1980
90,50,2010,119,7,48.3,0,0,2.1,17.1,Forest Service,3.5,27.4,9.1,0.8,3,32.5,1707
91,50,2010,93,8,60.1,0,0,1.6,13.9,Forest Service,3.5,27.4,9.1,0.8,3,32.5,1688
92,121,2010,111,1,100,0,0,1.2,7.6,Bureau of Land Management,1.9,8.4,2.8,2.1,3,41.8,1929
93,121,2010,29,2,99.5,0,0,1,5.5,Private,1.9,8.4,2.8,2.1,3,41.8,1867
94,121,2010,6,5,93.8,0,0,2.4,9.6,Forest Service,1.9,8.4,2.8,2.1,3,41.8,2276
95,121,2010,349,5,78.3,0,0,0.5,17,Forest Service,1.9,8.4,2.8,2.1,3,41.8,2245
96,121,2010,38,5,65.4,0,0,0.7,20.1,Forest Service,1.9,8.4,2.8,2.1,3,41.8,2257
97,121,2010,56,6,98.7,0,0,2.3,13.9,Bureau of Land Management,1.9,8.4,2.8,2.1,3,41.8,2042
98,54,2010,21,9,50.3,0,0,4,7,Private,2.85,10.1,3.4,3.1,3,21.7,1807
99,54,2010,47,4,99.6,0,0,1.3,17.3,Private,2.85,10.1,3.4,3.1,3,21.7,1647
100,54,2010,9,4,99.6,0,0,1.2,10.6,Private,2.85,10.1,3.4,3.1,3,21.7,1644
101,54,2010,12,3,97.6,0,0,2.2,11,State,2.85,10.1,3.4,3.1,3,21.7,1808
102,54,2010,7,4,96.8,0,0,2.2,8.9,State,2.85,10.1,3.4,3.1,3,21.7,1822
103,54,2010,135,3,44.8,0,0,1.4,13.9,Private,2.85,10.1,3.4,3.1,3,21.7,1817
104,54,2010,4,7,66.5,1,0,3.7,14,Bureau of Land Management,2.85,10.1,3.4,3.1,3,21.7,1608
105,54,2010,62,7,80,1,0,3.7,17,Bureau of Land Management,2.85,10.1,3.4,3.1,3,21.7,1556
106,54,2010,60,8,83.8,0,0,3.8,8.9,Private,2.85,10.1,3.4,3.1,3,21.7,1913
107,54,2010,165,2,89.5,0,0,2.3,16.8,Private,2.85,10.1,3.4,3.1,3,21.7,1843
108,54,2010,66,2,99.6,0,0,2.1,15.5,State,2.85,10.1,3.4,3.1,3,21.7,1795
109,25,2010,54,3,86.6,0,0,1,11.4,Bureau of Land Management,0,0,0,1.5,4,29.4,2096
110,25,2010,12,5,90.3,0,0,3.2,4.3,Bureau of Land Management,0,0,0,1.5,4,29.4,2315
111,25,2010,25,7,87.5,0,0,3.1,4,Bureau of Land Management,0,0,0,1.5,4,29.4,1911
112,25,2010,452,2,100,0,0,0.8,4.6,Bureau of Land Management,0,0,0,1.5,4,29.4,2104
113,99,2010,223,3,100,0,0,0.4,2.1,Bureau of Land Management,0,8,2.7,0.4,4,17.4,2191
114,99,2010,141,4,96.9,0,0,1.9,3.1,Bureau of Land Management,0,8,2.7,0.4,4,17.4,2256
115,67,2010,1225,4,67.5,0,0,2.3,11.2,Private,14.5,46.1,15.4,7.7,4,18.7,2425
116,67,2010,676,4,91.3,0,0,1.1,3.5,Private,14.5,46.1,15.4,7.7,4,18.7,2485
117,67,2010,4,6,18.4,0,0,2.6,27,Forest Service,14.5,46.1,15.4,7.7,4,18.7,2551
118,67,2010,156,4,99.9,1,0,3.6,12.7,Bureau of Land Management,14.5,46.1,15.4,7.7,4,18.7,2359
119,67,2010,18,3,100,1,0,3.3,13.9,Bureau of Land Management,14.5,46.1,15.4,7.7,4,18.7,2325
120,67,2010,253,4,94.8,1,0,6.1,6.5,WGF Commission,14.5,46.1,15.4,7.7,4,18.7,2502
121,67,2010,7,6,96.4,1,0,6.4,17.1,WGF Commission,14.5,46.1,15.4,7.7,4,18.7,2367
122,67,2010,10,6,95.8,1,0,6.4,22.3,WGF Commission,14.5,46.1,15.4,7.7,4,18.7,2339
123,67,2010,2,6,96.1,1,0,6.3,19.4,WGF Commission,14.5,46.1,15.4,7.7,4,18.7,2335
124,67,2010,52,6,99.3,1,0,6.6,13.5,WGF Commission,14.5,46.1,15.4,7.7,4,18.7,2468
125,67,2010,170,6,92.4,1,0,7,7.3,WGF Commission,14.5,46.1,15.4,7.7,4,18.7,2476
126,67,2010,46,6,73.2,0,0,4.8,3,Forest Service,14.5,46.1,15.4,7.7,4,18.7,2481
127,67,2010,16,4,97.4,1,0,4.3,3.1,WGF Commission,14.5,46.1,15.4,7.7,4,18.7,2408
128,67,2010,121,6,94.2,1,0,4.4,10.5,WGF Commission,14.5,46.1,15.4,7.7,4,18.7,2432
129,63,2010,6,6,99.6,0,0,2.3,10.8,Private,4,14,4.7,2.9,4,6.7,2171
130,63,2010,298,6,99.5,0,0,2.1,2.3,State,4,14,4.7,2.9,4,6.7,2222
131,63,2010,44,5,99.6,0,0,2,8.6,State,4,14,4.7,2.9,4,6.7,2175
132,63,2010,24,6,99.8,0,0,2.4,10.9,State,4,14,4.7,2.9,4,6.7,2192
133,63,2010,7,9,81.3,0,0,3.7,8.4,Private,4,14,4.7,2.9,4,6.7,2245
134,63,2010,37,6,92.6,0,0,2.1,12.5,State,4,14,4.7,2.9,4,6.7,2195
135,63,2010,58,9,87.8,0,0,0.8,15.7,Private,4,14,4.7,2.9,4,6.7,2146
136,59,2010,39,2,100,0,0,2.4,16.3,Private,4.65,10.9,3.6,3.1,4,16.1,2084
137,59,2010,13,4,100,0,0,1.4,6.3,Private,4.65,10.9,3.6,3.1,4,16.1,2041
138,59,2010,2,2,100,0,0,1.6,11.3,Private,4.65,10.9,3.6,3.1,4,16.1,2059
139,59,2010,77,4,100,0,0,1,9.9,Private,4.65,10.9,3.6,3.1,4,16.1,2013
140,59,2010,18,4,100,0,0,1,2,Private,4.65,10.9,3.6,3.1,4,16.1,2029
141,59,2010,21,7,97.3,0,0,1.3,7.5,Forest Service,4.65,10.9,3.6,3.1,4,16.1,2121
142,59,2010,123,3,99.9,0,0,0.5,4.1,Private,4.65,10.9,3.6,3.1,4,16.1,1947
143,59,2010,63,10,86,0,0,0.7,1.5,Private,4.65,10.9,3.6,3.1,4,16.1,1908
144,59,2010,5,10,85.3,0,0,0.6,7.9,Private,4.65,10.9,3.6,3.1,4,16.1,1945
145,51,2010,8,9,58.7,2,0,6.2,14.1,Forest Service,10.25,26.1,8.7,1.3,4,25.7,2302
146,51,2010,7,5,12.9,2,0,8.2,14.1,Forest Service,10.25,26.1,8.7,1.3,4,25.7,2412
147,51,2010,45,6,32.8,0,0,4.7,9,Forest Service,10.25,26.1,8.7,1.3,4,25.7,2364
148,51,2010,113,9,9.7,0,0,0.9,10.4,Forest Service,10.25,26.1,8.7,1.3,4,25.7,1865
149,51,2010,23,9,44.2,0,0,1,15.3,Forest Service,10.25,26.1,8.7,1.3,4,25.7,1962
150,51,2010,19,9,44,0,0,1.1,6.4,Forest Service,10.25,26.1,8.7,1.3,4,25.7,1945
151,52,2010,22,10,52,0,0,0.8,0.7,Forest Service,3.5,14.8,4.9,4.5,4,26.3,1852
152,52,2010,26,5,98.7,0,0,0.4,4.2,Forest Service,3.5,14.8,4.9,4.5,4,26.3,2094
153,52,2010,10,2,100,0,0,0.4,9.1,Forest Service,3.5,14.8,4.9,4.5,4,26.3,2052
154,52,2010,87,6,80.6,0,0,0.8,16.5,Forest Service,3.5,14.8,4.9,4.5,4,26.3,2097
155,52,2010,94,4,85.9,1,0,2.3,3.3,WGF Commission,3.5,14.8,4.9,4.5,4,26.3,2109
156,52,2010,62,7,20.6,0,0,1.9,3.1,Forest Service,3.5,14.8,4.9,4.5,4,26.3,2382
157,52,2010,212,3,92.1,0,0,2,8.3,Forest Service,3.5,14.8,4.9,4.5,4,26.3,2148
158,52,2010,10,2,99.3,0,0,1.3,4.4,Forest Service,3.5,14.8,4.9,4.5,4,26.3,2344
159,52,2010,8,3,100,0,0,1.6,10.3,Forest Service,3.5,14.8,4.9,4.5,4,26.3,2387
160,52,2010,153,2,100,0,0,1.4,7.7,Forest Service,3.5,14.8,4.9,4.5,4,26.3,2348
161,50,2010,126,8,52.5,0,0,2.2,6.1,Forest Service,3.5,27.4,9.1,0.8,4,32.5,1905
162,51,2010,34,6,85,0,0,0.9,8,Forest Service,10.25,26.1,8.7,1.3,4,25.7,2029
163,50,2010,33,6,40.6,0,0,2.6,8.8,Forest Service,3.5,27.4,9.1,0.8,4,32.5,1820
164,50,2010,143,6,47.4,0,0,2.5,5.2,Forest Service,3.5,27.4,9.1,0.8,4,32.5,1792
165,54,2010,6,8,89.6,1,0,3.3,10.3,Bureau of Land Management,2.85,10.1,3.4,3.1,4,21.7,1523
166,54,2010,113,4,97.7,0,0,2.4,7.8,State,2.85,10.1,3.4,3.1,4,21.7,1810
167,54,2010,13,4,96.2,0,0,2.3,11.2,State,2.85,10.1,3.4,3.1,4,21.7,1829
168,54,2010,78,5,96.5,0,0,2,8.8,Private,2.85,10.1,3.4,3.1,4,21.7,1803
169,54,2010,5,5,93.7,0,0,1.9,18.2,Private,2.85,10.1,3.4,3.1,4,21.7,1780
170,54,2010,63,5,93.6,0,0,1.8,12.8,Private,2.85,10.1,3.4,3.1,4,21.7,1826
171,54,2010,86,5,93.7,0,0,1.7,21.4,Private,2.85,10.1,3.4,3.1,4,21.7,1813
172,54,2010,12,4,95.4,0,0,1.5,18,Private,2.85,10.1,3.4,3.1,4,21.7,1843
173,54,2010,60,4,49.9,0,0,1.7,9.2,Private,2.85,10.1,3.4,3.1,4,21.7,1825
174,54,2010,73,7,37.1,0,0,1.7,8.9,Private,2.85,10.1,3.4,3.1,4,21.7,1868
175,54,2010,4,7,32.8,0,0,1.9,9.7,Private,2.85,10.1,3.4,3.1,4,21.7,1859
176,54,2010,24,2,81.5,0,0,2.2,7.9,Private,2.85,10.1,3.4,3.1,4,21.7,1812
177,54,2010,147,3,93.6,0,0,2,6.4,State,2.85,10.1,3.4,3.1,4,21.7,1788
178,54,2010,86,6,95.7,0,1,0.6,1.2,Private,2.85,10.1,3.4,3.1,4,21.7,1358
179,121,2010,27,3,98.1,0,0,3.1,9.6,Bureau of Land Management,1.9,8.4,2.8,2.1,4,41.8,1955
180,121,2010,39,5,98,0,0,0.1,2.6,Private,1.9,8.4,2.8,2.1,4,41.8,1990
181,121,2010,46,5,97.8,0,0,0,5,Private,1.9,8.4,2.8,2.1,4,41.8,1971
182,121,2010,52,5,98,0,0,0.2,5.7,Private,1.9,8.4,2.8,2.1,4,41.8,1978
183,121,2010,53,5,97.5,0,0,0.2,5.8,Private,1.9,8.4,2.8,2.1,4,41.8,1971
184,121,2010,47,5,94.9,0,0,2.3,11.8,Forest Service,1.9,8.4,2.8,2.1,4,41.8,2284
185,51,2010,6,7,47,2,0,2.4,23.9,Forest Service,10.25,26.1,8.7,1.3,5,25.7,2617
186,51,2010,6,6,26.2,2,0,4.7,12.2,Forest Service,10.25,26.1,8.7,1.3,5,25.7,2333
187,51,2010,6,5,20,2,0,4.8,11.2,Forest Service,10.25,26.1,8.7,1.3,5,25.7,2320
188,51,2010,2,6,40.8,2,0,3.9,1.6,Forest Service,10.25,26.1,8.7,1.3,5,25.7,2394
189,51,2010,10,9,48.8,2,0,4,10.4,Forest Service,10.25,26.1,8.7,1.3,5,25.7,2374
190,51,2010,8,9,50.1,2,0,4,17.9,Forest Service,10.25,26.1,8.7,1.3,5,25.7,2373
191,51,2010,23,6,87.3,2,0,2.9,4.8,Forest Service,10.25,26.1,8.7,1.3,5,25.7,2178
192,51,2010,15,8,55.1,0,0,3.4,5.1,Forest Service,10.25,26.1,8.7,1.3,5,25.7,2234
193,51,2010,8,8,66,0,0,2.8,8.8,Forest Service,10.25,26.1,8.7,1.3,5,25.7,2192
194,51,2010,3,7,61,0,0,3.2,12.1,Forest Service,10.25,26.1,8.7,1.3,5,25.7,2233
195,51,2010,10,9,71,0,0,3,1.5,Forest Service,10.25,26.1,8.7,1.3,5,25.7,2091
196,51,2010,3,10,24.3,0,0,0.8,6.1,Forest Service,10.25,26.1,8.7,1.3,5,25.7,2003
197,51,2010,31,10,11.6,0,0,1.3,9,Forest Service,10.25,26.1,8.7,1.3,5,25.7,1844
198,51,2010,4,6,34.8,0,0,3,1,Forest Service,10.25,26.1,8.7,1.3,5,25.7,2454
199,52,2010,32,5,99.5,0,0,0.4,18.3,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2082
200,52,2010,30,4,81.9,0,0,2.8,7.5,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2135
201,52,2010,2,9,31,0,0,0.4,22.8,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2202
202,52,2010,58,4,63.7,0,0,1.1,18,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2214
203,52,2010,8,4,62.5,0,0,1,8.2,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2161
204,52,2010,5,4,67.7,0,0,1,9,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2165
205,52,2010,34,4,73.7,0,0,1.2,10.3,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2170
206,52,2010,3,4,75.3,0,0,1.3,18.1,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2166
207,52,2010,24,6,73.8,0,0,1.5,4.5,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2131
208,52,2010,3,6,71.1,0,0,1.7,8.1,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2141
209,52,2010,31,5,87.8,0,0,1.5,1.9,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2107
210,52,2010,32,3,94.3,0,0,2,6.7,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2150
211,52,2010,21,4,87,0,0,1.8,10.1,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2184
212,52,2010,5,6,54.9,0,0,2.8,28.9,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2247
213,52,2010,5,6,61.8,0,0,2.9,23.7,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2215
214,52,2010,124,5,60.4,0,0,3.1,3.3,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2166
215,52,2010,42,9,90.9,1,0,1.1,0.9,WGF Commission,3.5,14.8,4.9,4.5,5,26.3,2074
216,52,2010,6,4,99.7,0,0,0.6,8.3,Forest Service,3.5,14.8,4.9,4.5,5,26.3,2112
217,54,2010,18,10,62.2,0,0,3.7,8,Private,2.85,10.1,3.4,3.1,5,21.7,1790
218,54,2010,23,5,85.9,0,0,2.5,14.8,Private,2.85,10.1,3.4,3.1,5,21.7,1729
219,54,2010,12,4,74.6,0,0,2.1,10.3,Private,2.85,10.1,3.4,3.1,5,21.7,1751
220,54,2010,6,5,88.3,0,0,2.5,9.3,Private,2.85,10.1,3.4,3.1,5,21.7,1696
221,54,2010,36,4,81.8,0,0,2.3,16.5,Private,2.85,10.1,3.4,3.1,5,21.7,1726
222,54,2010,23,3,28.8,0,0,1.8,10.7,Private,2.85,10.1,3.4,3.1,5,21.7,1779
223,54,2010,13,7,78,0,0,2.5,20.8,State,2.85,10.1,3.4,3.1,5,21.7,1769
224,54,2010,11,8,59,0,0,2.4,14.3,Private,2.85,10.1,3.4,3.1,5,21.7,1783
225,54,2010,52,5,95.6,0,0,3,13.3,State,2.85,10.1,3.4,3.1,5,21.7,1758
226,54,2010,74,9,68.9,0,0,2.4,15.3,Private,2.85,10.1,3.4,3.1,5,21.7,1751
227,54,2010,73,5,99.8,0,0,1.5,7.3,Private,2.85,10.1,3.4,3.1,5,21.7,1354
228,54,2010,24,6,59.4,0,1,1.8,1.7,Private,2.85,10.1,3.4,3.1,5,21.7,1408
229,54,2010,22,4,95.4,0,0,2.5,17.5,Private,2.85,10.1,3.4,3.1,5,21.7,1712
230,54,2010,57,4,96.4,0,0,2.4,14.3,Private,2.85,10.1,3.4,3.1,5,21.7,1665
231,54,2010,30,5,95,0,0,1.9,12.3,Private,2.85,10.1,3.4,3.1,5,21.7,1659
232,54,2010,38,6,83.3,0,0,2.4,7.2,Private,2.85,10.1,3.4,3.1,5,21.7,1738
233,54,2010,8,6,85.7,0,0,2.5,11.6,Private,2.85,10.1,3.4,3.1,5,21.7,1744
234,121,2010,14,3,83.9,0,0,3.3,4.9,Bureau of Land Management,1.9,8.4,2.8,2.1,5,41.8,1850
235,121,2010,69,9,64.8,0,0,2.5,9.7,Bureau of Land Management,1.9,8.4,2.8,2.1,5,41.8,1807
236,121,2010,37,9,84.6,0,0,2.2,1,Private,1.9,8.4,2.8,2.1,5,41.8,1781
237,121,2010,57,6,94.4,0,0,1.1,4.3,Private,1.9,8.4,2.8,2.1,5,41.8,1985
238,121,2010,2,3,98.7,0,0,3.3,12.1,Bureau of Land Management,1.9,8.4,2.8,2.1,5,41.8,1952
239,121,2010,9,5,97.7,0,0,3.8,1.8,Bureau of Land Management,1.9,8.4,2.8,2.1,5,41.8,2038
240,121,2010,4,4,98.8,0,0,3.9,8.1,Bureau of Land Management,1.9,8.4,2.8,2.1,5,41.8,2012
241,121,2011,2,8,68,0,0,1.1,10.8,Forest Service,3.6,8.4,2.8,2.1,1,77.3,2619
242,121,2011,2,8,42,0,0,1.7,5.6,Forest Service,3.6,8.4,2.8,2.1,1,77.3,2642
243,121,2011,16,6,69.2,0,0,0.6,13.9,Forest Service,3.6,8.4,2.8,2.1,1,77.3,2098
244,121,2011,173,3,99.1,0,0,1.2,11.2,Private,3.6,8.4,2.8,2.1,1,77.3,1874
245,121,2011,7,7,87.4,0,0,4.1,3.7,Forest Service,3.6,8.4,2.8,2.1,1,77.3,2087
246,121,2011,2,7,87.3,0,0,4.1,4.3,Forest Service,3.6,8.4,2.8,2.1,1,77.3,2099
247,121,2011,9,5,90.2,0,0,3.6,7.6,Forest Service,3.6,8.4,2.8,2.1,1,77.3,2196
